Language,    English,  Spanish

STR_Class00,  [RAV] - Objects, [RAV] - Objetos,
STR_lifter300, [RAV] - AIR LIFT LOAD ArmA3, [RAV] - ELEVADOR AEREO DE CARGA ArmA3,
STR_lifter301, Lift up, Levantar,
STR_lifter302, Let down, Soltar,
STR_lifter303, Attachment successful,Enganche exitoso,
STR_lifter304, Load released, Carga liberada,
STR_lifter305, VIOLATION OF SAFETY: The vehicle to be transported must be empty, VIOLACION DE SEGURIDAD: El vehiculo a transportar debe estar vacio,
STR_lifter306, <<ATTENTION: Height to release is excessive>>, <<ATENCION: Altura excesiva para liberar carga>>,
STR_lifter307, Deploy slings, Despliega eslingas,
STR_lifter308, Drop slings, Libera eslingas,
STR_lifter309, Height/helicopter, Altura/helicoptero,
STR_lifter310, Height, Altura,
STR_lifter311, slings and cargo released!, Eslingas y carga liberadas!,
STR_lifter312, Replace slings, Reponer eslingas,
STR_lifter313, Installed slings, Eslingas instaladas,
STR_lifter314, <<Replacement slings should be done on land by landed staff>>, <<Reemplazo de eslingas debe hacerse en tierra y por personal desembarcado>>,
STR_lifter315, LIFT GRANTED, ELEVACION PERMITIDA,
STR_lifter316, LIFT DENIED, ELEVACION NEGADA,
STR_lifter399, [-EMERGENCY RELEASE-], [-LIBERACION DE EMERGENCIA-],
